ID,dr_doi,primary,rel_pub_url,journal_name,usgs_pub,pubyear,doi_referenced,doi_location,doi_loc_description,other_reference,other_ref_type,other_ref_location,other_ref_loc_description,notes,Publisher,Linked_From_Landing_Page
0,doi:10.5066/P90QU56J,TRUE,https://doi.org/10.1021/acs.est.8b07227, ACS Publications/ Environmental Science and Technology,FALSE,2019,FALSE,Other,doi was not refrenced,FALSE,N/A,Other,N/A,,ACS Publications,N
1,doi:10.5066/F73R0R24,TRUE,https://doi.org/10.1007/s13157-017-0895-3,Changes in Community,FALSE,2017,TRUE,Main Body, End of the Data Analysis section,FALSE,N/A,Other,ScienceBase,,Springer Link,N
2,doi:10.5066/F7VQ30RM,TRUE,https://doi.org/10.1002/etc.3391,Environmental Toxicology,FALSE,2016,TRUE,Data Access Statement,Data Availability,TRUE,"BioData, & DOI's",Data Access Statement,N/A,"Other DOI's Refrenced:10.5066/F77W698B, 10.5066/F7P55KJN",Society of Environmental Toxicology and Chemistry,N
3,doi:10.5066/F71G0JF6,TRUE,https://doi.org/10.3133/sim3378,Hydrogeologic Characteristics,TRUE,2017,TRUE,Main Body,Purpose and Scope,FALSE,N/A,Other,N/A,,USGS,Y
4,doi:10.5066/F7571931,TRUE,https://doi.org/10.3133/sir20155164,Scientific Investigations Report 2015-5164,TRUE,2018,TRUE,Main Body,Data Release,FALSE,N/A,Other,N/A,,USGS,Y
5,doi:10.5066/F7H41QB6,TRUE,https://doi.org/10.1186/s40317-018-0145-3,Animal Biotelemetry,FALSE,2018,TRUE,Other,Authors Contributions; Availability of Data and Materials,FALSE,N/A,Other,N/A,BioMedCentral Part of Springer Nature,BMC ,N
6,doi:10.5066/P9MR4XN4,TRUE,https://doi.org/10.5066/P9MR4XN4,National Wildlife Health Center,TRUE,2020,TRUE,Other,Citations,TRUE,URL,Other,"URL, Additional Information",,USGS,N
7,doi:10.5066/P93ZFTZI,TRUE,https://doi.org/10.1002/ece3.5146,Ecology and Evolution,FALSE,2019,TRUE,Data Access Statement,Data Accessibility ,FALSE,N/A,Other,N/A,,Wiley Online Library ,N
8,doi:10.5066/F74T6GVD,TRUE,https://doi.org/10.1016/j.envpol.2017.08.070,Environmental Pollution,FALSE,2017,TRUE,References,Refrences ,FALSE,N/A,Other,N/A,,ScienceDirect,N
9,doi:10.5066/P9GRF34E,TRUE,https://doi.org/10.1002/eap.1912,Ecological Applications,FALSE,2019,TRUE,Data Access Statement,Literature Cited,FALSE,N/A,Other,N/A,Ecological Society of America,esa,N
10,doi:10.5066/F7W37VJW,TRUE,https://doi.org/10.1002/ecs2.2095,Ecosphere,FALSE,2018,FALSE,Other,N/A,FALSE,N/A,Other,N/A,Ecological Society of America,esa,N
11,doi:10.5066/F77M06VP,TRUE,https://doi.org/10.1021/acs.est.7b04076,Environmental Science and Technology ,FALSE,2018,TRUE,Main Body,Results and Discussion,FALSE,N/A,Other,N/A,,ACS Publications,N
12,doi:10.5066/F7QF8R0R,TRUE,https://doi.org/10.3996/042016-JFWM-029,Journal of Fish and Wildlife Management ,FALSE,2016,FALSE,Other,N/A,FALSE,N/A,Other,N/A,,Scientific Journals ,N
13,doi:10.5066/F7DJ5CSM,TRUE,https://doi.org/10.3133/sir20175064,Scientific Investigations Report 2017-5064,TRUE,2018,TRUE,References,Refrences Cited,TRUE,DOI,Figure or Chart,Results of Survey,,USGS,Y
14,doi:10.5066/P94VL32J,TRUE,https://doi.org/10.1177/0361198118822821,Journal of the Transportation Research Board,FALSE,2019,FALSE,Other,N/A,FALSE,N/A,Other,N/A,DOI's 10.5066/F74Q7T5X and 10.5066/F7BG2M33 were both cited in Refrences section ,Sage Journals,N
15,doi:10.5066/F7PC31P4,TRUE,https://doi.org/10.3133/ds1048,FGD Data Series 1048,TRUE,2018,TRUE,References,Refrences Cited,TRUE,DOI ,Other,Installing the fuel guide database,,USGS,Y
16,doi:10.5066/F76M34Z1,TRUE,https://doi.org/10.1002/ecs2.1582,Ecosphere,FALSE,2016,FALSE,Other,N/A,FALSE,N/A,Other,N/A,Ecological Society of America,esa,N
17,doi:10.5066/P94J36GC,TRUE,https://doi.org/10.3133/ofr20191054,Open File Report 2019-1054,TRUE,2019,TRUE,References,Refrences Cited,TRUE,DOI ,Main Body,Background,,USGS,Y
18,doi:10.5066/F7639MVK,TRUE,https://doi.org/10.1111/1365-2745.12901,Journal of Ecology ,FALSE,2017,TRUE,Data Access Statement,Data Accessibility ,FALSE,N/A,Other,N/A,,British Ecological Society,N
19,doi:10.5066/P9SS1DJW,TRUE,https://doi.org/10.3133/ofr20181123,Open File Report 2018-1123,TRUE,2018,TRUE,References,Refrences Cited,FALSE,N/A,Other,N/A,,USGS,Y
20,doi:10.5066/F7T43SDG,TRUE,https://doi.org/10.1111/cobi.12569,Conservation Biology ,FALSE,2015,FALSE,Other,N/A,FALSE,N/A,Other,N/A,,Society for Conservation Biology ,N
21,doi:10.5066/P9AKBIK9,TRUE,https://doi.org/10.1002/nafm.10373,North American Journal of Fisheries Managment ,FALSE,2019,TRUE,Acknowledgements,Acknowledgments,FALSE,N/A,Other,N/A,,American Fisheries Society ,Y
22,doi:10.5066/F7F18XZR,TRUE,https://doi.org/10.1016/j.ecss.2018.01.006,"Estuarine, Coastal and Shelf Science ",FALSE,2018,FALSE,Other,N/A,TRUE,Landsat ,Main Body,Methods ,,Science Direct,N
23,doi:10.5066/F73X8556,TRUE,https://doi.org/10.1111/1752-1688.12603,Journal of the American Water Resources Association ,FALSE,2017,FALSE,Other,N/A,FALSE,N/A,Other,N/A,,Wiley Online Library ,N
24,doi:10.5066/P9EBB1LG,TRUE,https://doi.org/10.1186/s13071-019-3545-1,Parasites and Vectors ,FALSE,2019,TRUE,References,Refrences ,FALSE,N/A,Other,N/A,,BMC ,N
25,doi:10.5066/F77P8WH6,TRUE,https://doi.org/10.3390/rs8110901,Remote Sensing Open Access Journals ,FALSE,2016,FALSE,Other,N/A,FALSE,N/A,Other,N/A,,MDPI,N
26,doi:10.5066/F7JD4TX8,TRUE,https://doi.org/10.3133/pp1832,"Professional paper, series NO. 1832",TRUE,2017,TRUE,References,References Cited ,FALSE,N/A,Other,N/A,,USGS,Y
27,doi:10.5066/F7GM86GZ,TRUE,https://doi.org/10.1007/s10592-018-1115-2,Characterizing range-wide divergence in an alpine-endemic bird,FALSE,2018,TRUE,Data Access Statement,Data Availability,FALSE,N/A,Other,N/A,,Springer Link,N
28,doi:10.5066/F7MW2F8W,TRUE,https://doi.org/10.3133/sir20185039,Scientific Investrigations Report 2018-5039,TRUE,2018,TRUE,References,References Cited ,FALSE,N/A,Other,N/A,DOI was also cited in the abstract,USGS,Y
29,doi:10.5066/F7VQ30S2,TRUE,https://doi.org/10.3133/sir20185094,Scientific Investigations Report 2018-5094,TRUE,2018,TRUE,References,References Cited ,TRUE,10.5066 DOI's ,References,References cited ,,USGS,Y
30,doi:10.5066/F7D50K3F,TRUE,https://doi.org/10.3133/sir20185124,Scientific Investigations Report 2018-5124,TRUE,2018,TRUE,References,References Cited ,FALSE,N/A,Other,N/A,,USGS,Y
31,doi:10.5066/F7833QZH,TRUE,https://doi.org/10.1016/j.ecoser.2019.100945,Ecosytem Services ,FALSE,2019,FALSE,Other,N/A,TRUE,"NLCD, NHD, NED",Main Body,Environmental Data,"National Land Cover Database, National Hydrography Dataset, National Elevation Dataset",ELSEVIER,N
32,doi:10.5066/F7X0655K,TRUE,https://doi.org/10.1111/gcb.13462,Global Change Biology ,FALSE,2016,FALSE,Other,N/A,TRUE,Code for calcultaing each thermal metric,Main Body,Materials and methods ,github.com/USGS-R/md.lakes,Wiley Online Library ,N
33,doi:10.5066/F71J97WD,TRUE,https://doi.org/10.1139/cjfas-2016-0365,Canadian Journal of  Fisheries and Aquatic Sciences,FALSE,2017,TRUE,Main Body,Materials and methods,FALSE,N/A,Other,N/A,,NRC research press,N
34,doi:10.5066/F77M0754,TRUE,https://doi.org/10.1016/j.hydroa.2018.100005,Journal Hydrology X,FALSE,2018,TRUE,References,References ,FALSE,N/A,Other,N/A,,ELSEVIER,N
35,doi:10.5066/P9TPJ9R9,TRUE,https://doi.org/10.1002/asi.22988,Journal of the Association for Information Science and Technology ,FALSE,2013,FALSE,Other,N/A,FALSE,N/A,Other,N/A,"Did not have full access to the article, not positive if any other citations were made or the DOI was cited anywhere else ",asis&t,N
36,doi:10.5066/F7HX19VW,TRUE,https://doi.org/10.1111/1752-1688.12551,Journal of the American Water Resources Association ,FALSE,2017,FALSE,Other,N/A,TRUE,USGS ,Main Body,Throughout the main body,USGS was referenced throughout the areticle but no DOI ,Wiley Online Library ,N
37,doi:10.5066/P9NMXM5B,TRUE,https://doi.org/10.3133/sir20195011,Scientific Investigations Report 2019-5011,TRUE,2019,TRUE,References,References Cited ,FALSE,N/A,Other,N/A,,USGS,N
38,doi:10.5066/F7PG1PT2,TRUE,https://doi.org/10.1002/wsb.758,Wildlife Society Bulletin ,FALSE,2017,FALSE,Other,N/A,TRUE,USGS ,Acknowledgements,Acknowledgements ,USGS support and research programs were cited,The Wildlife Society ,N
39,doi:10.5066/F73J3C50,TRUE,https://doi.org/10.3133/sir20185145,Scientific Investigations Report 2018-5145,TRUE,2019,TRUE,References,References Cited ,FALSE,N/A,Other,N/A,,USGS,Y
40,doi:10.5066/F7R78CF8,TRUE,https://doi.org/10.3133/sim3380,Scientific Investigations Map  3380,TRUE,2017,TRUE,References,References Cited ,FALSE,N/A,Other,N/A,,USGS,Y
41,doi:10.5066/F7J964HB,TRUE,https://doi.org/10.3133/sir20175064,Scientific Investigations Report 2017-5064,TRUE,2018,TRUE,References,References Cited ,FALSE,N/A,Other,N/A,Also cited in Results of Survey ,USGS,Y
42,doi:10.5066/F79S1QBW,TRUE,https://doi.org/10.3133/sir20185101,Scientific Investigations Report 2018-5101,TRUE,2018,TRUE,References,References Cited ,FALSE,N/A,Other,N/A,,USGS,Y
43,doi:10.5066/P9A93HRF,TRUE,https://doi.org/10.1186/s40462-017-0115-z,Movement Ecology ,FALSE,2017,FALSE,Other,N/A,TRUE,DOI  10.5066/F7PG1PT2,References,References  ,,BMC ,N
44,doi:10.5066/P979FAZK,TRUE,https://doi.org/10.1016/j.envpol.2018.09.005,Environmental Pollution,FALSE,2018,FALSE,Other,N/A,FALSE,N/A,Other,N/A,,ScienceDirect/ELSEVIER,N
45,doi:10.5066/F7QJ7G77,TRUE,https://doi.org/10.3391/mbi.2017.8.3.10,Managment of Biological Invasions ,FALSE,2017,FALSE,Other,N/A,TRUE,USGS Nonindigenous Aquatic Species Database,References,References  ,,REABIC,N
46,doi:10.5066/F7ZC81T9,TRUE,https://doi.org/10.1002/ecy.2166,Ecology ,FALSE,2018,TRUE,Data Access Statement,Data Availability,FALSE,N/A,Other,N/A,,esa,N
47,doi:10.5066/P9L3W3MX,TRUE,https://doi.org/10.1002/ecy.2166,Ecology ,FALSE,2018,FALSE,Other,N/A,TRUE,DOI  10.5066/F7ZC81t9,Data Access Statement,Data Availability ,,esa,N
48,doi:10.5066/F7ST7P39,TRUE,https://doi.org/10.3133/fs20153067,Fact Sheet 2015-3067,TRUE,2015,FALSE,Other,N/A,FALSE,N/A,Other,N/A,,USGS,N
49,doi:10.5066/P9XUYMQT,TRUE,https://doi.org/10.1016/j.scitotenv.2018.06.150,Science of the Total Envirionment ,FALSE,2018,TRUE,References,References ,FALSE,N/A,Other,N/A,,ScienceDirect/ELSEVIER,N
50,doi:10.5066/P9GDWR0C,TRUE,https://doi.org/10.1016/j.oregeorev.2019.102966,Ore Geology Reviews ,FALSE,2019,TRUE,References,References ,FALSE,N/A,Other,N/A,,ScienceDirect/ELSEVIER,N
51,doi:10.5066/F7HD7SRF,TRUE,https://doi.org/10.3133/sir20105247,Scientific Investigations Report 2010-5247,TRUE,2010,FALSE,Other,N/A,FALSE,N/A,Other,N/A,,USGS,N
52,doi:10.5066/F70863CT,TRUE,https://doi.org/10.3133/sir20115167,Scientific Investigations Report 2011-5167,TRUE,2011,FALSE,Other,N/A,FALSE,N/A,Other,N/A,,USGS,N
53,doi:10.5066/F7ST7NCG,TRUE,https://doi.org/10.1371/journal.pone.0180791,A Validation of 11 body-condition Indices in a Giant Snake Species that Exhibit Positive Allometry ,FALSE,2017,TRUE,Data Access Statement,Data Availability Statement ,FALSE,N/A,Other,N/A,,Plos One,N
54,doi:10.5066/F7NS0RZ3,TRUE,https://doi.org/10.3133/sir20165176,Scientific Investigations 2016-5176,TRUE,2017,TRUE,References,References Cited ,FALSE,N/A,Other,N/A,,USGS,Y
55,doi:10.5066/P9DV375U,TRUE,https://doi.org/10.3389/fenvs.2019.00126,Frontiers in Environmental Science Conservation,FALSE,2019,TRUE,Main Body,Results ,FALSE,N/A,Other,N/A,Also cited in Data Availability,Frontier,N
56,doi:10.5066/F7S181SV,TRUE,https://doi.org/10.1111/jofo.12243,Journal of Field Ornithology,FALSE,2018,FALSE,Other,N/A,FALSE,N/A,Other,N/A,,Wiley Online Library ,N
57,doi:10.5066/F7GH9G5K,TRUE,https://doi.org/10.3133/sir2019XXXX,,,,,,,,,,,,,
58,doi:10.5066/F7QF8R16,TRUE,https://doi.org/10.1007/s10661-017-5765-1,,,,,,,,,,,,,
59,doi:10.5066/F7TD9VFS,TRUE,https://doi.org/10.1016/j.limno.2017.02.005,,,,,,,,,,,,,
60,doi:10.5066/P9HQDP8O,TRUE,https://doi.org/10.1007/s12237-019-00552-y,,,,,,,,,,,,,
61,doi:10.5066/F7F47MBM,TRUE,https://doi.org/10.3133/ofr20151188A,,,,,,,,,,,,,
62,doi:10.5066/F71835Q9,TRUE,https://doi.org/10.3133/ofr20181029,,,,,,,,,,,,,
63,doi:10.5066/F70G3HWF,TRUE,https://doi.org/10.3133/sir20175117,,,,,,,,,,,,,
64,doi:10.5066/F7FJ2FR5,TRUE,https://doi.org/10.3133/ofr20181065,,,,,,,,,,,,,
65,doi:10.5066/F75X2721,TRUE,https://doi.org/10.3133/sir20165148,,,,,,,,,,,,,
66,doi:10.5066/F7G15Z0S,TRUE,https://doi.org/10.3133/ofr20161157,,,,,,,,,,,,,
67,doi:10.5066/F7PV6HJ3,TRUE,https://doi.org/10.3133/sir20175028,,,,,,,,,,,,,
68,doi:10.5066/P9052ULY,TRUE,"https://doi.org/10.3133/SIR2019XXXX,",,,,,,,,,,,,,
