has_refs,has_title,title,publisher,pub_year,dr_doi_cited,rel_pub_url,dr_doi
FALSE,TRUE,Mercury Exposure and Altered Parental Nesting Behavior in a Wild Songbird,American Chemical Society (ACS),2019,,https://doi.org/10.1021/acs.est.8b07227,doi:10.5066/P90QU56J
TRUE,TRUE,"Changes in Community-Level Riparian Plant Traits over Inundation Gradients, Colorado River, Grand Canyon",Springer Science and Business Media LLC,2017,TRUE,https://doi.org/10.1007/s13157-017-0895-3,doi:10.5066/F73R0R24
TRUE,TRUE,Spatial and temporal variation in microcystin occurrence in wadeable streams in the southeastern United States,Wiley,2016,FALSE,https://doi.org/10.1002/etc.3391,doi:10.5066/F7VQ30RM
FALSE,TRUE,"Hydrogeologic characteristics and geospatial analysis of water-table changes in the alluvium of the lower Arkansas River Valley, southeastern Colorado, 2002, 2008, and 2015",US Geological Survey,2017,,https://doi.org/10.3133/sim3378,doi:10.5066/F71G0JF6
FALSE,TRUE,"Volcanic aquifers of Hawaiâ€˜iâ€”Hydrogeology, water budgets, and conceptual models",US Geological Survey,2018,,https://doi.org/10.3133/sir20155164,doi:10.5066/F7571931
TRUE,TRUE,Evaluating GPS biologging technology for studying spatial ecology of large constricting snakes,Springer Science and Business Media LLC,2018,FALSE,https://doi.org/10.1186/s40317-018-0145-3,doi:10.5066/F7H41QB6
,,,,,,,
TRUE,TRUE,"Sitting ducklings: Timing of hatch, nest departure, and predation risk for dabbling duck broods",Wiley,2019,FALSE,https://doi.org/10.1002/ece3.5146,doi:10.5066/P93ZFTZI
FALSE,TRUE,Widespread legacy brine contamination from oil production reduces survival of chorus frog larvae,Elsevier BV,,,https://doi.org/10.1016/j.envpol.2017.08.070,doi:10.5066/F74T6GVD
TRUE,TRUE,Influences of potential oil and gas development and future climate on Sageâ€grouse declines and redistribution,Wiley,2019,FALSE,https://doi.org/10.1002/eap.1912,doi:10.5066/P9GRF34E
TRUE,TRUE,Preparing for an uncertain future: migrating shorebird response to past climatic fluctuations in the Prairie Potholes,Wiley,2018,FALSE,https://doi.org/10.1002/ecs2.2095,doi:10.5066/F7W37VJW
FALSE,TRUE,Comparison of the Chemical Composition of Dissolved Organic Matter in Three Lakes in Minnesota,American Chemical Society (ACS),2018,,https://doi.org/10.1021/acs.est.7b04076,doi:10.5066/F77M06VP
FALSE,TRUE,Active Season Microhabitat and Vegetation Selection by Giant Gartersnakes Associated with a Restored Marsh in California,U.S. Fish and Wildlife Service,2016,,https://doi.org/10.3996/042016-JFWM-029,doi:10.5066/F7QF8R0R
FALSE,TRUE,"Bathymetry of Ashokan, Cannonsville, Neversink, Pepacton, Rondout, and Schoharie Reservoirs, New York, 2013â€“15",US Geological Survey,2018,,https://doi.org/10.3133/sir20175064,doi:10.5066/F7DJ5CSM
TRUE,TRUE,Simulating Runoff Quality with the Highway Runoff Database and the Stochastic Empirical Loading and Dilution Model,SAGE Publications,2019,FALSE,https://doi.org/10.1177/0361198118822821,doi:10.5066/P94VL32J
FALSE,TRUE,Fuels guide and database for intact and invaded big sagebrush (Artemisia tridentata) ecological sitesâ€”User manual,US Geological Survey,2018,,https://doi.org/10.3133/ds1048,doi:10.5066/F7PC31P4
TRUE,TRUE,Forecasting tidal marsh elevation and habitat change through fusion of Earth observations and a process model,Wiley,2016,FALSE,https://doi.org/10.1002/ecs2.1582,doi:10.5066/F76M34Z1
FALSE,TRUE,"Sea-cliff bedstraw (Galium buxifolium) patterns and trends, 2005â€“14, on Santa Cruz and San Miguel Islands, Channel Islands National Park, California",US Geological Survey,2019,,https://doi.org/10.3133/ofr20191054,doi:10.5066/P94J36GC
TRUE,TRUE,Direct and indirect controls on organic matter decomposition in four coastal wetland communities along a landscape salinity gradient,Wiley,2017,FALSE,https://doi.org/10.1111/1365-2745.12901,doi:10.5066/F7639MVK
FALSE,TRUE,"Effects of proposed navigation channel improvements on sediment transport in Mobile Harbor, Alabama",US Geological Survey,2018,,https://doi.org/10.3133/ofr20181123,doi:10.5066/P9SS1DJW
TRUE,TRUE,Effects of wind-energy facilities on breeding grassland bird distributions,Wiley,2015,FALSE,https://doi.org/10.1111/cobi.12569,doi:10.5066/F7T43SDG
TRUE,TRUE,Semiautomated Process for Enumeration of Fishes from Recreationalâ€Grade Sideâ€Scan Sonar Imagery,Wiley,,FALSE,https://doi.org/10.1002/nafm.10373,doi:10.5066/P9AKBIK9
FALSE,TRUE,Climate-related variation in plant peak biomass and growth phenology across Pacific Northwest tidal marshes,Elsevier BV,,,https://doi.org/10.1016/j.ecss.2018.01.006,doi:10.5066/F7F18XZR
TRUE,TRUE,Characterizing Uncertainty in Daily Streamflow Estimates at Ungauged Locations for the Massachusetts Sustainable Yield Estimator,Wiley,2017,FALSE,https://doi.org/10.1111/1752-1688.12603,doi:10.5066/F73X8556
TRUE,TRUE,Prevalence and diversity of avian blood parasites in a resident northern passerine,Springer Science and Business Media LLC,2019,TRUE,https://doi.org/10.1186/s13071-019-3545-1,doi:10.5066/P9EBB1LG
TRUE,TRUE,Differential Heating in the Indian Ocean Differentially Modulates Precipitation in the Ganges and Brahmaputra Basins,MDPI AG,2016,FALSE,https://doi.org/10.3390/rs8110901,doi:10.5066/F77P8WH6
