ID,dr_doi,primary,rel_pub_url,rel_pub_has_ref,journal_name,publisher,date published
0,doi:10.5066/P90QU56J,TRUE,https://doi.org/10.1021/acs.est.8b07227,FALSE,Mercury Exposure and Altered Parental Nesting Behavior in a Wild Songbird,American Chemical Society (ACS),"{'date-parts': [[2019, 3, 29]]}"
1,doi:10.5066/F73R0R24,TRUE,https://doi.org/10.1007/s13157-017-0895-3,TRUE,"Changes in Community-Level Riparian Plant Traits over Inundation Gradients, Colorado River, Grand Canyon",Springer Science and Business Media LLC,"{'date-parts': [[2017, 3, 17]]}"
2,doi:10.5066/F7VQ30RM,TRUE,https://doi.org/10.1002/etc.3391,TRUE,Spatial and temporal variation in microcystin occurrence in wadeable streams in the southeastern United States,Wiley,"{'date-parts': [[2016, 6, 6]]}"
3,doi:10.5066/F71G0JF6,TRUE,https://doi.org/10.3133/sim3378,FALSE,"Hydrogeologic characteristics and geospatial analysis of water-table changes in the alluvium of the lower Arkansas River Valley, southeastern Colorado, 2002, 2008, and 2015",US Geological Survey,{'date-parts': [[2017]]}
4,doi:10.5066/F7571931,TRUE,https://doi.org/10.3133/sir20155164,FALSE,"Volcanic aquifers of Hawai‘i—Hydrogeology, water budgets, and conceptual models",US Geological Survey,{'date-parts': [[2018]]}
5,doi:10.5066/F7H41QB6,TRUE,https://doi.org/10.1186/s40317-018-0145-3,TRUE,Evaluating GPS biologging technology for studying spatial ecology of large constricting snakes,Springer Science and Business Media LLC,"{'date-parts': [[2018, 2, 13]]}"
6,doi:10.5066/P9MR4XN4,TRUE,https://doi.org/10.5066/P9MR4XN4,,,,
7,doi:10.5066/P93ZFTZI,TRUE,https://doi.org/10.1002/ece3.5146,TRUE,"Sitting ducklings: Timing of hatch, nest departure, and predation risk for dabbling duck broods",Wiley,"{'date-parts': [[2019, 4, 16]]}"
8,doi:10.5066/F74T6GVD,TRUE,https://doi.org/10.1016/j.envpol.2017.08.070,FALSE,Widespread legacy brine contamination from oil production reduces survival of chorus frog larvae,Elsevier BV,
9,doi:10.5066/P9GRF34E,TRUE,https://doi.org/10.1002/eap.1912,TRUE,Influences of potential oil and gas development and future climate on Sage‐grouse declines and redistribution,Wiley,"{'date-parts': [[2019, 7, 16]]}"
10,doi:10.5066/F7W37VJW,TRUE,https://doi.org/10.1002/ecs2.2095,TRUE,Preparing for an uncertain future: migrating shorebird response to past climatic fluctuations in the Prairie Potholes,Wiley,"{'date-parts': [[2018, 2, 27]]}"
11,doi:10.5066/F77M06VP,TRUE,https://doi.org/10.1021/acs.est.7b04076,FALSE,Comparison of the Chemical Composition of Dissolved Organic Matter in Three Lakes in Minnesota,American Chemical Society (ACS),"{'date-parts': [[2018, 2, 7]]}"
12,doi:10.5066/F7QF8R0R,TRUE,https://doi.org/10.3996/042016-JFWM-029,FALSE,Active Season Microhabitat and Vegetation Selection by Giant Gartersnakes Associated with a Restored Marsh in California,U.S. Fish and Wildlife Service,"{'date-parts': [[2016, 9, 1]]}"
13,doi:10.5066/F7DJ5CSM,TRUE,https://doi.org/10.3133/sir20175064,FALSE,"Bathymetry of Ashokan, Cannonsville, Neversink, Pepacton, Rondout, and Schoharie Reservoirs, New York, 2013–15",US Geological Survey,{'date-parts': [[2018]]}
14,doi:10.5066/P94VL32J,TRUE,https://doi.org/10.1177/0361198118822821,TRUE,Simulating Runoff Quality with the Highway Runoff Database and the Stochastic Empirical Loading and Dilution Model,SAGE Publications,"{'date-parts': [[2019, 1, 13]]}"
15,doi:10.5066/F7PC31P4,TRUE,https://doi.org/10.3133/ds1048,FALSE,Fuels guide and database for intact and invaded big sagebrush (Artemisia tridentata) ecological sites—User manual,US Geological Survey,{'date-parts': [[2018]]}
16,doi:10.5066/F76M34Z1,TRUE,https://doi.org/10.1002/ecs2.1582,TRUE,Forecasting tidal marsh elevation and habitat change through fusion of Earth observations and a process model,Wiley,"{'date-parts': [[2016, 11, 14]]}"
